station_id,station_name,temp,latitude,longitude,avg_trip_count,day_count,coords_x,coords_y
142,McClurg Ct & Erie St,80.0,41.8945,-87.6179,67.57142857142857,84,-9753580.012375966,5145189.13281262
143,Sedgwick St & Webster Ave,30.0,41.9222,-87.6389,11.929133858267717,127,-9755917.721682623,5149332.496275286
143,Sedgwick St & Webster Ave,35.0,41.9222,-87.6389,14.067901234567902,162,-9755917.721682623,5149332.496275286
143,Sedgwick St & Webster Ave,40.0,41.9222,-87.6389,19.248407643312103,157,-9755917.721682623,5149332.496275286
143,Sedgwick St & Webster Ave,45.0,41.9222,-87.6389,22.593103448275862,145,-9755917.721682623,5149332.496275286
143,Sedgwick St & Webster Ave,50.0,41.9222,-87.6389,27.28187919463087,149,-9755917.721682623,5149332.496275286
143,Sedgwick St & Webster Ave,55.0,41.9222,-87.6389,34.75238095238095,105,-9755917.721682623,5149332.496275286
143,Sedgwick St & Webster Ave,60.0,41.9222,-87.6389,41.321917808219176,146,-9755917.721682623,5149332.496275286
143,Sedgwick St & Webster Ave,65.0,41.9222,-87.6389,50.484276729559745,159,-9755917.721682623,5149332.496275286
143,Sedgwick St & Webster Ave,70.0,41.9222,-87.6389,54.753488372093024,215,-9755917.721682623,5149332.496275286
143,Sedgwick St & Webster Ave,75.0,41.9222,-87.6389,57.16742081447964,221,-9755917.721682623,5149332.496275286
143,Sedgwick St & Webster Ave,80.0,41.9222,-87.6389,51.93069306930693,101,-9755917.721682623,5149332.496275286
144,Larrabee St & Webster Ave,30.0,41.9218,-87.6441,10.625,128,-9756496.583034748,5149272.6515156925
144,Larrabee St & Webster Ave,35.0,41.9218,-87.6441,12.9937106918239,159,-9756496.583034748,5149272.6515156925
144,Larrabee St & Webster Ave,40.0,41.9218,-87.6441,16.626582278481013,158,-9756496.583034748,5149272.6515156925
144,Larrabee St & Webster Ave,45.0,41.9218,-87.6441,21.075862068965517,145,-9756496.583034748,5149272.6515156925
